10,1050,1995
10,1800,1998
20,2010,1997
30,3410,1998
80,5501,1997
95,6831,1997
120,30012,1963
120,30012,1964
120,30012,1965
120,30012,1966
120,30012,1967
120,30012,1968
120,30012,1969
120,30012,1970
120,30012,1971
120,30012,1972
120,30012,1973
120,30012,1974
120,30012,1975
120,30012,1976
120,30012,1977
120,30012,1978
120,30012,1979
120,30012,1980
120,30012,1981
120,30012,1982
120,30012,1983
120,30012,1984
120,30012,1985
120,30012,1986
120,30012,1987
120,30012,1988
120,30012,1989
120,30012,1990
120,30012,1991
120,30012,1992
120,30012,1993
120,30012,1994
120,30012,1995
120,30012,1996
120,30012,1997
120,30012,1998
120,30012,1999
120,30012,2000
120,30012,2001
120,30012,2002
120,30012,2003
120,30012,2004
120,30012,2005
120,30012,2006
120,30012,2007
120,30012,2008
120,30012,2009
120,30012,2010
120,30012,2011
120,30012,2012
120,30012,2013
120,30012,2014
120,30012,2015
120,30012,2016
120,30012,2017
120,30012,2018
120,30012,2019
120,30012,2020
210,30007,1950
210,30007,1951
210,30007,1952
210,30007,1953
210,30007,1954
210,30007,1955
210,30007,1956
210,30007,1957
210,30007,1958
210,30007,1959
210,30007,1960
210,30007,1961
210,30007,1962
210,30007,1963
210,30007,1964
210,30007,1965
210,30007,1966
210,30007,1967
210,30007,1968
210,30007,1969
210,30007,1970
210,30007,1971
210,30007,1972
210,30007,1973
210,30007,1974
210,30007,1975
210,30007,1976
210,30007,1977
210,30007,1978
210,30007,1979
210,30007,1980
210,30007,1981
210,30007,1982
210,30007,1983
210,30007,1984
210,30007,1985
210,30007,1986
210,30007,1987
210,30007,1988
210,30007,1989
210,30007,1990
210,30007,1991
210,30007,1992
210,30007,1993
210,30007,1994
210,30007,1995
210,30007,1996
210,30007,1997
210,30007,1998
210,30007,1999
210,30007,2000
210,30007,2001
210,30007,2002
210,30007,2003
210,30007,2004
210,30007,2005
210,30007,2006
210,30007,2007
210,30007,2008
210,30007,2009
210,30007,2010
210,30007,2011
210,30007,2012
210,30007,2013
210,30007,2014
210,30007,2015
210,30007,2016
210,30007,2017
210,30007,2018
210,30007,2019
210,30007,2020
212,30006,1957
212,30006,1958
212,30006,1959
212,30006,1960
212,30006,1961
212,30006,1962
212,30006,1963
212,30006,1964
212,30006,1965
212,30006,1966
212,30006,1967
212,30006,1968
212,30006,1969
212,30006,1970
212,30006,1971
212,30006,1972
212,30006,1973
212,30006,1974
212,30006,1975
212,30006,1976
212,30006,1977
212,30006,1978
212,30006,1979
212,30006,1980
212,30006,1981
212,30006,1982
212,30006,1983
212,30006,1984
212,30006,1985
212,30006,1986
212,30006,1987
212,30006,1988
212,30006,1989
212,30006,1990
212,30006,1991
212,30006,1992
212,30006,1993
212,30006,1994
212,30006,1995
212,30006,1996
212,30006,1997
212,30006,1998
212,30006,1999
212,30006,2000
212,30006,2001
212,30006,2002
212,30006,2003
212,30006,2004
212,30006,2005
212,30006,2006
212,30006,2007
212,30006,2008
212,30006,2009
212,30006,2010
212,30006,2011
212,30006,2012
212,30006,2013
212,30006,2014
212,30006,2015
212,30006,2016
212,30006,2017
212,30006,2018
212,30006,2019
212,30006,2020
