timestamp,time_string,cf
1762491698.032,2025-11-07 05:01:38,0.0094166435
1762492478.033,2025-11-07 05:14:38,0.009222795
1762493258.033,2025-11-07 05:27:38,0.0076961145
1762494038.028,2025-11-07 05:40:38,0.0072268373
1762494818.026,2025-11-07 05:53:38,0.007557067
1762495598.028,2025-11-07 06:06:38,0.0066679968
1762496378.032,2025-11-07 06:19:38,0.0067287185
1762497158.034,2025-11-07 06:32:38,0.007485509
1762497938.032,2025-11-07 06:45:38,0.028614782
1762498718.032,2025-11-07 06:58:38,0.021172345
1762499498.032,2025-11-07 07:11:38,0.009162803
1762500278.03,2025-11-07 07:24:38,0.014459717
1762501058.03,2025-11-07 07:37:38,0.015750509
1762501838.029,2025-11-07 07:50:38,0.0147462
1762502618.029,2025-11-07 08:03:38,0.014941824
1762503398.03,2025-11-07 08:16:38,0.014368749
1762504178.029,2025-11-07 08:29:38,nan
1762504958.03,2025-11-07 08:42:38,nan
1762505738.031,2025-11-07 08:55:38,0.014461081
1762506518.032,2025-11-07 09:08:38,0.014184857
1762507298.033,2025-11-07 09:21:38,0.014337259
1762508078.031,2025-11-07 09:34:38,0.015449543
1762508858.029,2025-11-07 09:47:38,0.016564658
1762509638.029,2025-11-07 10:00:38,0.015648521
1762510418.031,2025-11-07 10:13:38,0.015360009
1762511198.031,2025-11-07 10:26:38,0.015369207
1762511978.028,2025-11-07 10:39:38,0.015492817
1762512758.025,2025-11-07 10:52:38,0.015182781
1762491698.032,2025-11-07 05:01:38,0.0094166435
1762492478.033,2025-11-07 05:14:38,0.009222795
1762493258.033,2025-11-07 05:27:38,0.0076961145
1762494038.028,2025-11-07 05:40:38,0.0072268373
1762494818.026,2025-11-07 05:53:38,0.007557067
1762495598.028,2025-11-07 06:06:38,0.0066679968
1762492202.033,2025-11-07 00:10:02,0.009201514
1762492982.033,2025-11-07 00:23:02,0.009956765
1762493762.029,2025-11-07 00:36:02,0.008070324
1762494542.026,2025-11-07 00:49:02,0.0075555216
1762495322.026,2025-11-07 01:02:02,0.008212359
1762496102.031,2025-11-07 01:15:02,0.007169853
1762496882.033,2025-11-07 01:28:02,0.0055064056
1762497662.033,2025-11-07 01:41:02,0.009002992
1762498442.032,2025-11-07 01:54:02,0.21222386
1762499222.033,2025-11-07 02:07:02,0.014223023
1762500002.03,2025-11-07 02:20:02,0.011199076
1762492202.033,2025-11-07 00:10:02,0.009201514
1762492982.033,2025-11-07 00:23:02,0.009956765
1762493762.029,2025-11-07 00:36:02,0.008070324
1762494542.026,2025-11-07 00:49:02,0.0075555216
1762495322.026,2025-11-07 01:02:02,0.008212359
1762496102.031,2025-11-07 01:15:02,0.007169853
1762496882.033,2025-11-07 01:28:02,0.0055064056
1762497662.033,2025-11-07 01:41:02,0.009002992
1762498442.032,2025-11-07 01:54:02,0.21222386
1762499222.033,2025-11-07 02:07:02,0.014223023
1762500002.03,2025-11-07 02:20:02,0.011199076
1762500782.03,2025-11-07 02:33:02,0.0056632184
1762501562.029,2025-11-07 02:46:02,0.014995698
1762502342.029,2025-11-07 02:59:02,0.016004309
1762503122.029,2025-11-07 03:12:02,0.015639309
1762503902.029,2025-11-07 03:25:02,0.008720794
1762504682.029,2025-11-07 03:38:02,nan
1762505462.029,2025-11-07 03:51:02,0.015438418
1762506242.032,2025-11-07 04:04:02,0.015791498
1762507022.032,2025-11-07 04:17:02,0.015442524
1762507802.031,2025-11-07 04:30:02,0.0158824
1762508582.03,2025-11-07 04:43:02,0.017781809
1762509362.029,2025-11-07 04:56:02,0.016362734
1762510142.031,2025-11-07 05:09:02,0.017185044
1762510922.031,2025-11-07 05:22:02,0.016130146
1762511702.031,2025-11-07 05:35:02,0.017082348
1762512482.026,2025-11-07 05:48:02,0.016460847
1762513262.023,2025-11-07 06:01:02,0.015344464
1762514042.022,2025-11-07 06:14:02,0.013500053
1762514822.02,2025-11-07 06:27:02,0.017532518
1762515602.019,2025-11-07 06:40:02,0.0150302
1762516382.029,2025-11-07 06:53:02,0.016115965
1762517162.034,2025-11-07 07:06:02,0.015152518
1762517942.035,2025-11-07 07:19:02,0.014913027
1762518722.033,2025-11-07 07:32:02,0.01503147
1762519502.033,2025-11-07 07:45:02,0.015211905
1762520282.032,2025-11-07 07:58:02,0.01469706
1762521062.032,2025-11-07 08:11:02,0.01473434
1762521842.032,2025-11-07 08:24:02,0.008462085
1762522622.032,2025-11-07 08:37:02,0.0070983884
1762523402.032,2025-11-07 08:50:02,0.015446309
1762524182.032,2025-11-07 09:03:02,0.014913291
1762524962.032,2025-11-07 09:16:02,0.014258854
1762525742.032,2025-11-07 09:29:02,0.013441364
1762526522.031,2025-11-07 09:42:02,0.013506711
1762527302.031,2025-11-07 09:55:02,0.012288558
1762528082.031,2025-11-07 10:08:02,0.011705294
1762528862.025,2025-11-07 10:21:02,0.013210441
1762529642.023,2025-11-07 10:34:02,0.0061185597
1762530422.025,2025-11-07 10:47:02,0.011113561
1762531202.026,2025-11-07 11:00:02,0.013559199
1762531982.026,2025-11-07 11:13:02,0.01226846
1762532762.031,2025-11-07 11:26:02,nan
1762533542.032,2025-11-07 11:39:02,0.012925102
1762534322.033,2025-11-07 11:52:02,0.029694926
1762535102.032,2025-11-07 12:05:02,0.0074535
1762535882.032,2025-11-07 12:18:02,nan
1762536662.033,2025-11-07 12:31:02,0.00025887342
1762537442.032,2025-11-07 12:44:02,0.03435783
1762492202.033,2025-11-07 00:10:02,0.009201514
1762492982.033,2025-11-07 00:23:02,0.009956765
1762493762.029,2025-11-07 00:36:02,0.008070324
1762494542.026,2025-11-07 00:49:02,0.0075555216
1762495322.026,2025-11-07 01:02:02,0.008212359
1762496102.031,2025-11-07 01:15:02,0.007169853
1762496882.033,2025-11-07 01:28:02,0.0055064056
1762497662.033,2025-11-07 01:41:02,0.009002992
1762498442.032,2025-11-07 01:54:02,0.21222386
1762499222.033,2025-11-07 02:07:02,0.014223023
1762500002.03,2025-11-07 02:20:02,0.011199076
1762500782.03,2025-11-07 02:33:02,0.0056632184
1762501562.029,2025-11-07 02:46:02,0.014995698
1762502342.029,2025-11-07 02:59:02,0.016004309
1762503122.029,2025-11-07 03:12:02,0.015639309
1762503902.029,2025-11-07 03:25:02,0.008720794
1762504682.029,2025-11-07 03:38:02,nan
1762505462.029,2025-11-07 03:51:02,0.015438418
1762506242.032,2025-11-07 04:04:02,0.015791498
1762507022.032,2025-11-07 04:17:02,0.015442524
1762507802.031,2025-11-07 04:30:02,0.0158824
1762508582.03,2025-11-07 04:43:02,0.017781809
1762509362.029,2025-11-07 04:56:02,0.016362734
1762510142.031,2025-11-07 05:09:02,0.017185044
1762510922.031,2025-11-07 05:22:02,0.016130146
1762511702.031,2025-11-07 05:35:02,0.017082348
1762512482.026,2025-11-07 05:48:02,0.016460847
1762513262.023,2025-11-07 06:01:02,0.015344464
1762514042.022,2025-11-07 06:14:02,0.013500053
1762514822.02,2025-11-07 06:27:02,0.017532518
1762515602.019,2025-11-07 06:40:02,0.0150302
1762516382.029,2025-11-07 06:53:02,0.016115965
1762517162.034,2025-11-07 07:06:02,0.015152518
1762517942.035,2025-11-07 07:19:02,0.014913027
1762518722.033,2025-11-07 07:32:02,0.01503147
1762519502.033,2025-11-07 07:45:02,0.015211905
1762520282.032,2025-11-07 07:58:02,0.01469706
1762521062.032,2025-11-07 08:11:02,0.01473434
1762521842.032,2025-11-07 08:24:02,0.008462085
1762522622.032,2025-11-07 08:37:02,0.0070983884
1762523402.032,2025-11-07 08:50:02,0.015446309
1762524182.032,2025-11-07 09:03:02,0.014913291
1762524962.032,2025-11-07 09:16:02,0.014258854
1762525742.032,2025-11-07 09:29:02,0.013441364
1762526522.031,2025-11-07 09:42:02,0.013506711
1762527302.031,2025-11-07 09:55:02,0.012288558
1762528082.031,2025-11-07 10:08:02,0.011705294
1762528862.025,2025-11-07 10:21:02,0.013210441
1762529642.023,2025-11-07 10:34:02,0.0061185597
1762530422.025,2025-11-07 10:47:02,0.011113561
1762531202.026,2025-11-07 11:00:02,0.013559199
1762531982.026,2025-11-07 11:13:02,0.01226846
1762532762.031,2025-11-07 11:26:02,nan
1762533542.032,2025-11-07 11:39:02,0.012925102
1762534322.033,2025-11-07 11:52:02,0.029694926
1762535102.032,2025-11-07 12:05:02,0.0074535
1762535882.032,2025-11-07 12:18:02,nan
1762536662.033,2025-11-07 12:31:02,0.00025887342
1762537442.032,2025-11-07 12:44:02,0.03435783
1762538222.032,2025-11-07 12:57:02,0.020764342
1762539002.032,2025-11-07 13:10:02,0.010799877
1762539782.032,2025-11-07 13:23:02,0.01726967
1762540562.031,2025-11-07 13:36:02,0.013670822
1762541342.03,2025-11-07 13:49:02,0.014155677
1762542122.029,2025-11-07 14:02:02,0.016489722
1762542902.029,2025-11-07 14:15:02,0.02004012
1762543682.029,2025-11-07 14:28:02,0.019843204
1762544462.029,2025-11-07 14:41:02,0.011038447
1762545242.031,2025-11-07 14:54:02,0.015620407
1762546022.032,2025-11-07 15:07:02,0.0111132385
1762546802.029,2025-11-07 15:20:02,0.015858
1762547582.026,2025-11-07 15:33:02,0.016099088
1762548362.024,2025-11-07 15:46:02,0.09053046
1762549142.026,2025-11-07 15:59:02,0.019899184
1762549922.026,2025-11-07 16:12:02,0.009712686
1762550702.027,2025-11-07 16:25:02,0.012177013
1762551482.03,2025-11-07 16:38:02,0.027207216
1762552262.03,2025-11-07 16:51:02,0.014138769
1762553042.031,2025-11-07 17:04:02,0.0126107
1762553822.032,2025-11-07 17:17:02,0.012185195
1762554602.034,2025-11-07 17:30:02,0.012571073
1762555382.033,2025-11-07 17:43:02,0.012706139
1762556162.033,2025-11-07 17:56:02,0.012510561
1762556942.03,2025-11-07 18:09:02,0.0058287145
1762557722.026,2025-11-07 18:22:02,0.0071825967
1762558502.026,2025-11-07 18:35:02,0.003764599
1762559282.024,2025-11-07 18:48:02,0.0024623305
